Date,Carsten,Yakunai,Nanu
10/096,30.4,30.4,34.3
11/096,26.1,26.1,34.0
12/096,21.9,21.9,31.2
13/096,21.6,21.6,30.5
14/096,18.4,18.4,32.2
15/096,19.9,19.9,30.2
16/096,19.1,19.1,28.3
17/096,19.5,19.5,28.6
18/096,15.0,15.0,28.1
19/096,12.8,12.8,25.3
20/096,11.2,11.2,23.4
21/096,8.7,8.7,21.7
22/096,8.2,8.2,21.6
23/096,6.6,6.6,19.9
24/096,5.9,5.9,20.3
25/096,6.7,6.7,21.4
26/096,10.5,10.5,23.2
27/096,12.2,12.2,22.8
28/096,15.8,15.8,22.5
01/097,16.3,16.3,22.9
02/097,17.0,17.0,25.6
03/097,19.7,19.7,25.6
04/097,24.5,24.5,25.8
05/097,26.2,26.2,28.0
06/097,25.1,25.1,28.7
07/097,24.6,24.6,27.1
08/097,23.7,23.7,28.6
09/097,24.5,24.5,28.0
10/097,24.8,24.8,27.2
11/097,22.8,22.8,25.6
12/097,19.3,19.3,23.4
13/097,17.7,17.7,22.1
14/097,15.6,15.6,19.9
15/097,15.5,15.5,23.3
16/097,13.8,13.8,21.6
17/097,14.6,14.6,20.8
18/097,13.9,13.9,20.0
19/097,11.5,11.5,18.8
20/097,10.0,10.0,19.0
21/097,9.0,9.0,18.8
22/097,6.7,6.7,19.0
23/097,8.1,8.1,20.6
24/097,10.7,10.7,20.9
25/097,7.1,7.1,20.7
26/097,10.4,10.4,23.4
27/097,13.5,13.5,24.9
28/097,13.8,13.8,24.3
01/098,17.2,17.2,27.0
02/098,17.2,17.2,26.7
03/098,19.0,19.0,28.1
04/098,20.5,20.5,29.5
05/098,23.0,23.0,31.2
06/098,24.1,24.1,30.7
07/098,26.2,26.2,30.1
08/098,26.7,26.7,29.7
09/098,24.1,24.1,29.4
10/098,21.5,21.5,29.2
11/098,19.6,19.6,27.3
12/098,17.5,17.5,26.4
13/098,14.9,14.9,26.7
14/098,16.4,16.4,23.7
15/098,15.7,15.7,22.5
16/098,14.8,14.8,22.2
17/098,16.0,16.0,19.7
18/098,15.2,15.2,17.5
19/098,12.4,12.4,17.6
20/098,10.3,10.3,16.1
21/098,9.2,9.2,16.1
22/098,7.7,7.7,15.3
23/098,7.4,7.4,15.8
24/098,7.7,7.7,17.3
25/098,8.2,8.2,18.0
26/098,11.8,11.8,17.8
27/098,12.9,12.9,18.4
28/098,15.4,15.4,18.8
01/099,17.8,17.8,20.3
02/099,16.6,16.6,24.9
03/099,20.7,20.7,27.3
04/099,20.6,20.6,28.4
05/099,26.2,26.2,27.6
06/099,26.0,26.0,29.2
07/099,27.4,27.4,30.0
08/099,31.0,31.0,29.6
09/099,31.4,31.4,31.1
10/099,27.7,27.7,29.4
11/099,24.3,24.3,29.1
12/099,21.7,21.7,26.2
13/099,17.5,17.5,28.2
14/099,22.2,22.2,26.5
15/099,19.1,19.1,27.5
16/099,18.1,18.1,26.5
17/099,14.9,14.9,25.3
18/099,11.6,11.6,25.7
19/099,12.6,12.6,23.0
20/099,11.8,11.8,21.6
21/099,10.4,10.4,20.8
22/099,5.9,5.9,20.8
23/099,6.4,6.4,20.9
24/099,8.4,8.4,21.9
25/099,11.3,11.3,22.3
26/099,13.0,13.0,23.8
27/099,18.2,18.2,25.6
28/099,15.9,15.9,26.2
01/100,16.4,16.4,27.0
02/100,17.5,17.5,28.1
03/100,18.6,18.6,29.2
04/100,23.8,23.8,30.9
05/100,27.8,27.8,31.1
06/100,26.8,26.8,30.1
07/100,28.6,28.6,28.9
08/100,28.2,28.2,28.6
09/100,27.8,27.8,28.1
10/100,24.4,24.4,26.8
11/100,22.2,22.2,24.4
12/100,24.6,24.6,24.3
13/100,22.8,22.8,24.9
14/100,22.4,22.4,23.2
15/100,20.6,20.6,22.5
16/100,20.9,20.9,22.2
17/100,20.7,20.7,20.9
18/100,17.8,17.8,19.9
19/100,14.0,14.0,20.5
20/100,13.9,13.9,18.9
21/100,11.1,11.1,17.6
22/100,8.4,8.4,17.4
23/100,8.1,8.1,17.0
24/100,10.4,10.4,18.4
25/100,12.9,12.9,20.4
26/100,12.3,12.3,22.6
27/100,14.4,14.4,25.0
28/100,18.7,18.7,26.8
01/101,18.3,18.3,29.0
02/101,18.4,18.4,30.2
03/101,19.2,19.2,31.1
04/101,21.2,21.2,32.6
05/101,24.1,24.1,34.5
06/101,26.6,26.6,35.0
07/101,30.6,30.6,35.7
08/101,30.2,30.2,34.4
09/101,28.5,28.5,32.8
10/101,24.8,24.8,31.8
11/101,23.1,23.1,30.3
12/101,17.9,17.9,28.3
13/101,17.9,17.9,25.7
14/101,15.4,15.4,25.2
15/101,15.0,15.0,24.9
16/101,15.0,15.0,24.6
17/101,13.4,13.4,23.5
18/101,10.8,10.8,21.3
19/101,9.7,9.7,20.6
20/101,7.8,7.8,20.5
21/101,6.4,6.4,19.8
22/101,6.7,6.7,18.8
23/101,9.2,9.2,17.2
24/101,8.0,8.0,18.1
25/101,9.7,9.7,17.3
26/101,10.1,10.1,18.5
27/101,11.3,11.3,19.1
28/101,16.6,16.6,21.7
01/102,18.0,18.0,24.3
02/102,19.7,19.7,23.2
03/102,22.3,22.3,22.1
04/102,24.1,24.1,24.7
05/102,24.7,24.7,25.3
06/102,28.9,28.9,25.3
07/102,29.0,29.0,27.6
08/102,31.2,31.2,26.8
09/102,31.3,31.3,26.8
10/102,27.3,27.3,27.0
11/102,24.9,24.9,25.9
12/102,21.4,21.4,26.2
13/102,17.9,17.9,26.9
14/102,16.2,16.2,25.2
15/102,15.8,15.8,25.1
16/102,16.0,16.0,24.3
17/102,13.1,13.1,24.3
18/102,12.6,12.6,22.7
19/102,10.4,10.4,22.9
20/102,8.9,8.9,22.5
21/102,4.7,4.7,22.2
22/102,2.4,2.4,20.5
23/102,1.9,1.9,21.1
24/102,4.2,4.2,21.6
25/102,9.1,9.1,19.6
26/102,12.8,12.8,22.2
27/102,13.0,13.0,22.9
28/102,15.0,15.0,23.8
01/103,16.5,16.5,25.7
02/103,21.9,21.9,26.5
03/103,21.0,21.0,27.0
04/103,22.5,22.5,28.0
05/103,25.4,25.4,27.7
06/103,25.0,25.0,31.1
07/103,28.8,28.8,30.1
08/103,29.5,29.5,30.4
09/103,27.9,27.9,29.0
10/103,29.1,29.1,27.7
11/103,21.3,21.3,26.0
12/103,21.5,21.5,23.7
13/103,19.7,19.7,23.7
14/103,20.6,20.6,21.4
15/103,20.0,20.0,20.2
16/103,18.2,18.2,19.7
17/103,15.7,15.7,19.3
18/103,14.1,14.1,18.3
19/103,10.5,10.5,18.4
20/103,6.9,6.9,16.6
21/103,6.4,6.4,17.6
22/103,7.5,7.5,17.9
23/103,8.4,8.4,18.5
24/103,9.9,9.9,18.2
25/103,9.8,9.8,19.2
26/103,11.1,11.1,21.2
27/103,11.3,11.3,23.0
28/103,15.7,15.7,23.0
01/104,18.4,18.4,24.5
02/104,18.4,18.4,27.9
03/104,20.9,20.9,29.8
04/104,23.1,23.1,31.1
05/104,24.8,24.8,33.4
06/104,28.6,28.6,33.7
07/104,26.8,26.8,35.2
08/104,32.0,32.0,33.6
09/104,31.1,31.1,32.7
10/104,27.3,27.3,33.1
11/104,23.7,23.7,32.6
12/104,23.7,23.7,30.7
13/104,22.4,22.4,29.9
14/104,24.6,24.6,29.0
15/104,24.2,24.2,27.9
16/104,24.3,24.3,26.6
17/104,21.5,21.5,27.2
18/104,21.5,21.5,25.8
19/104,16.1,16.1,25.2
20/104,12.1,12.1,23.0
21/104,12.3,12.3,24.0
22/104,10.0,10.0,23.0
23/104,8.4,8.4,24.2
24/104,10.0,10.0,22.3
25/104,14.1,14.1,21.5
26/104,17.5,17.5,20.8
27/104,20.3,20.3,23.1
28/104,19.9,19.9,23.1
01/105,19.2,19.2,24.6
02/105,20.3,20.3,24.4
03/105,23.6,23.6,25.1
04/105,24.5,24.5,26.5
05/105,25.3,25.3,28.3
06/105,26.0,26.0,27.8
07/105,30.3,30.3,27.8
08/105,30.8,30.8,29.0
09/105,29.4,29.4,29.1
10/105,29.4,29.4,29.7
11/105,24.7,24.7,29.7
12/105,22.1,22.1,29.4
13/105,21.4,21.4,28.3
14/105,22.3,22.3,28.1
15/105,17.7,17.7,28.4
16/105,16.7,16.7,25.9
17/105,12.4,12.4,26.6
18/105,14.1,14.1,25.5
19/105,11.9,11.9,23.4
20/105,11.1,11.1,23.1
21/105,11.4,11.4,23.1
22/105,9.4,9.4,21.5
23/105,9.8,9.8,23.1
24/105,10.7,10.7,24.8
25/105,12.8,12.8,25.4
26/105,15.9,15.9,26.9
27/105,16.8,16.8,26.4
28/105,20.5,20.5,26.9
01/106,20.8,20.8,27.8
02/106,21.7,21.7,29.4
03/106,24.0,24.0,30.8
04/106,25.7,25.7,32.7
05/106,26.4,26.4,32.8
06/106,28.0,28.0,33.5
07/106,28.1,28.1,30.8
08/106,31.0,31.0,31.2
09/106,31.0,31.0,34.2
10/106,29.8,29.8,33.3
11/106,25.7,25.7,30.3
12/106,24.5,24.5,28.0
13/106,23.2,23.2,26.3
14/106,21.8,21.8,24.5
15/106,19.0,19.0,23.7
16/106,21.7,21.7,20.9
17/106,16.4,16.4,22.9
18/106,13.6,13.6,20.0
19/106,9.2,9.2,18.7
20/106,8.7,8.7,17.6
21/106,7.8,7.8,18.1
22/106,5.3,5.3,17.4
23/106,4.7,4.7,17.9
24/106,5.8,5.8,17.9
25/106,9.7,9.7,19.4
26/106,12.6,12.6,19.7
27/106,15.5,15.5,20.6
28/106,19.6,19.6,23.3
01/107,15.8,15.8,26.3
02/107,15.4,15.4,24.4
03/107,17.9,17.9,27.0
04/107,22.4,22.4,28.6
05/107,23.0,23.0,30.5
06/107,23.9,23.9,32.0
07/107,24.4,24.4,32.9
08/107,25.6,25.6,33.0
09/107,23.8,23.8,33.7
10/107,26.2,26.2,33.5
11/107,23.1,23.1,32.4
12/107,21.7,21.7,30.0
13/107,20.1,20.1,27.8
14/107,19.1,19.1,27.1
15/107,18.0,18.0,27.3
16/107,17.3,17.3,28.4
17/107,13.2,13.2,24.6
18/107,15.2,15.2,24.1
19/107,15.9,15.9,22.6
20/107,13.6,13.6,19.4
21/107,9.4,9.4,19.7
22/107,9.2,9.2,21.5
23/107,8.4,8.4,19.7
24/107,8.6,8.6,21.4
25/107,11.8,11.8,19.6
26/107,13.6,13.6,19.6
27/107,16.7,16.7,20.8
28/107,17.4,17.4,21.3
01/108,19.1,19.1,23.0
02/108,18.3,18.3,24.0
03/108,20.3,20.3,24.3
04/108,23.8,23.8,25.6
05/108,24.4,24.4,26.7
06/108,28.9,28.9,28.0
07/108,28.2,28.2,27.9
08/108,25.7,25.7,27.7
09/108,25.3,25.3,25.2
10/108,21.9,21.9,25.2
11/108,21.4,21.4,25.4
12/108,18.3,18.3,25.1
13/108,15.6,15.6,22.9
14/108,15.2,15.2,21.9
15/108,14.0,14.0,21.6
16/108,11.6,11.6,21.6
17/108,10.1,10.1,20.4
18/108,8.1,8.1,18.8
19/108,5.6,5.6,19.5
20/108,4.3,4.3,18.7
21/108,4.6,4.6,19.1
22/108,3.2,3.2,20.7
23/108,4.3,4.3,20.5
24/108,6.1,6.1,20.6
25/108,8.2,8.2,23.0
26/108,12.4,12.4,23.2
27/108,14.6,14.6,25.2
28/108,16.4,16.4,28.3
01/109,19.4,19.4,29.8
02/109,19.2,19.2,29.5
03/109,20.3,20.3,29.5
04/109,23.3,23.3,31.5
05/109,26.6,26.6,32.2
06/109,27.5,27.5,32.1
07/109,30.5,30.5,34.2
08/109,29.9,29.9,32.7
09/109,30.2,30.2,32.7
10/109,29.5,29.5,31.7
11/109,24.8,24.8,30.1
12/109,23.7,23.7,26.6
13/109,22.7,22.7,26.6
14/109,22.4,22.4,24.4
15/109,21.5,21.5,23.4
16/109,20.9,20.9,22.9
17/109,18.3,18.3,21.2
18/109,16.7,16.7,20.0
19/109,13.5,13.5,19.6
20/109,10.6,10.6,17.7
21/109,6.3,6.3,18.2
22/109,6.2,6.2,18.7
23/109,8.3,8.3,18.9
24/109,6.5,6.5,18.0
25/109,8.4,8.4,18.9
26/109,10.5,10.5,18.7
27/109,11.9,11.9,20.3
28/109,15.0,15.0,20.9
01/110,15.3,15.3,24.3
02/110,18.6,18.6,26.6
03/110,20.5,20.5,27.5
04/110,24.9,24.9,28.8
05/110,24.5,24.5,29.6
06/110,25.1,25.1,32.6
07/110,28.9,28.9,33.4
08/110,29.1,29.1,32.2
09/110,28.1,28.1,31.7
10/110,27.4,27.4,31.7
11/110,25.2,25.2,31.3
12/110,24.4,24.4,31.3
13/110,19.8,19.8,29.5
14/110,18.9,18.9,27.4
15/110,15.1,15.1,25.9
16/110,17.3,17.3,28.6
17/110,14.2,14.2,25.1
18/110,12.9,12.9,24.8
19/110,13.7,13.7,24.5
20/110,11.9,11.9,23.6
21/110,8.6,8.6,23.9
22/110,9.7,9.7,23.8
23/110,7.3,7.3,24.9
24/110,10.1,10.1,25.1
25/110,11.5,11.5,24.7
26/110,14.2,14.2,26.4
27/110,14.1,14.1,25.0
28/110,15.7,15.7,27.0
01/111,17.8,17.8,26.9
02/111,18.9,18.9,25.4
03/111,21.5,21.5,25.2
04/111,22.2,22.2,24.9
05/111,22.0,22.0,25.6
06/111,23.9,23.9,25.9
07/111,24.0,24.0,26.7
08/111,26.9,26.9,28.3
09/111,26.5,26.5,27.5
10/111,27.2,27.2,26.4
11/111,25.0,25.0,24.2
12/111,20.9,20.9,22.8
13/111,15.8,15.8,23.9
14/111,16.0,16.0,22.3
15/111,15.2,15.2,22.5
16/111,13.4,13.4,22.0
17/111,12.7,12.7,22.1
18/111,11.4,11.4,20.7
19/111,12.2,12.2,20.1
20/111,11.0,11.0,17.5
21/111,8.2,8.2,17.4
22/111,5.7,5.7,18.2
23/111,6.0,6.0,19.1
24/111,6.7,6.7,19.9
25/111,10.7,10.7,21.1
26/111,11.9,11.9,22.7
27/111,13.7,13.7,21.5
28/111,15.5,15.5,23.3
01/112,16.9,16.9,23.4
02/112,17.9,17.9,25.5
03/112,18.5,18.5,27.6
04/112,23.9,23.9,30.7
05/112,25.2,25.2,32.9
06/112,26.1,26.1,33.3
07/112,27.7,27.7,33.1
08/112,28.7,28.7,33.1
09/112,28.0,28.0,32.9
10/112,23.7,23.7,30.9
11/112,22.5,22.5,29.9
12/112,18.6,18.6,27.6
13/112,16.7,16.7,27.1
14/112,14.1,14.1,24.6
15/112,12.2,12.2,23.9
16/112,13.1,13.1,24.6
17/112,13.1,13.1,21.0
18/112,10.8,10.8,18.6
19/112,10.4,10.4,16.9
20/112,10.7,10.7,15.7
21/112,7.3,7.3,14.4
22/112,6.7,6.7,15.2
23/112,7.3,7.3,14.2
24/112,6.5,6.5,14.4
25/112,5.8,5.8,15.9
26/112,7.2,7.2,16.8
27/112,9.5,9.5,17.5
28/112,11.7,11.7,18.3
01/113,13.6,13.6,21.2
02/113,18.4,18.4,22.4
03/113,20.8,20.8,25.7
04/113,21.6,21.6,27.3
05/113,24.3,24.3,24.8
06/113,25.3,25.3,26.1
07/113,26.1,26.1,26.2
08/113,28.0,28.0,27.8
09/113,26.6,26.6,26.7
10/113,23.8,23.8,26.1
11/113,23.0,23.0,25.2
12/113,25.0,25.0,25.7
13/113,22.9,22.9,24.6
14/113,19.6,19.6,25.2
15/113,18.4,18.4,26.2
16/113,16.4,16.4,26.2
17/113,15.1,15.1,24.6
18/113,14.6,14.6,25.2
19/113,12.8,12.8,23.0
20/113,10.3,10.3,22.7
21/113,9.2,9.2,23.4
22/113,6.7,6.7,22.8
23/113,8.1,8.1,22.9
24/113,8.9,8.9,23.0
25/113,9.9,9.9,23.5
26/113,12.4,12.4,23.0
27/113,12.1,12.1,23.7
28/113,15.0,15.0,25.7
01/114,17.1,17.1,27.0
02/114,18.2,18.2,28.7
03/114,21.8,21.8,28.8
04/114,25.6,25.6,29.3
05/114,25.0,25.0,28.4
06/114,28.4,28.4,29.3
07/114,27.8,27.8,28.9
08/114,28.6,28.6,28.4
09/114,28.2,28.2,28.8
10/114,29.1,29.1,28.3
11/114,28.4,28.4,30.4
12/114,22.3,22.3,27.9
13/114,22.1,22.1,24.9
14/114,21.1,21.1,25.2
15/114,19.4,19.4,24.8
16/114,19.9,19.9,23.0
17/114,18.9,18.9,23.0
18/114,15.8,15.8,23.0
19/114,14.0,14.0,21.2
20/114,12.1,12.1,22.7
21/114,12.1,12.1,21.2
22/114,8.2,8.2,22.0
23/114,9.8,9.8,22.3
24/114,9.4,9.4,21.5
25/114,12.5,12.5,22.5
26/114,16.7,16.7,23.7
27/114,19.1,19.1,25.8
28/114,22.2,22.2,27.6
01/115,25.8,25.8,28.2
02/115,22.9,22.9,29.6
03/115,22.9,22.9,31.6
04/115,27.2,27.2,30.3
05/115,29.2,29.2,33.2
06/115,30.1,30.1,32.6
07/115,29.5,29.5,35.0
08/115,31.0,31.0,35.6
09/115,32.6,32.6,36.2
10/115,28.8,28.8,35.0
11/115,26.9,26.9,33.9
12/115,23.7,23.7,33.2
13/115,22.1,22.1,33.5
14/115,19.1,19.1,33.1
15/115,18.4,18.4,30.4
16/115,15.1,15.1,29.1
17/115,14.5,14.5,27.4
18/115,12.7,12.7,24.4
19/115,12.6,12.6,24.0
20/115,11.9,11.9,24.1
21/115,13.0,13.0,22.9
22/115,13.0,13.0,22.5
23/115,12.0,12.0,22.0
24/115,13.0,13.0,22.2
25/115,10.1,10.1,22.9
26/115,12.4,12.4,23.3
27/115,12.9,12.9,24.8
28/115,17.7,17.7,25.2
01/116,17.6,17.6,28.5
02/116,18.2,18.2,27.6
03/116,20.9,20.9,28.3
04/116,26.1,26.1,28.6
05/116,24.7,24.7,27.9
06/116,24.7,24.7,29.7
07/116,29.0,29.0,29.9
08/116,30.4,30.4,30.2
09/116,29.6,29.6,28.0
10/116,28.8,28.8,26.1
11/116,27.4,27.4,24.9
12/116,26.7,26.7,24.4
13/116,25.0,25.0,27.0
14/116,23.2,23.2,26.5
15/116,17.5,17.5,25.2
16/116,13.7,13.7,24.6
17/116,12.3,12.3,23.7
18/116,8.7,8.7,21.7
19/116,9.2,9.2,21.2
20/116,7.0,7.0,22.2
21/116,4.2,4.2,22.0
22/116,5.0,5.0,21.3
23/116,4.3,4.3,20.9
24/116,8.3,8.3,22.2
25/116,10.4,10.4,23.6
26/116,11.3,11.3,23.8
27/116,14.6,14.6,25.2
28/116,14.4,14.4,26.1
01/117,20.1,20.1,27.3
02/117,22.0,22.0,27.7
03/117,23.9,23.9,30.6
04/117,24.6,24.6,31.1
05/117,27.7,27.7,31.8
06/117,28.6,28.6,31.6
07/117,26.9,26.9,31.7
08/117,28.3,28.3,30.3
09/117,29.8,29.8,29.9
10/117,27.2,27.2,28.2
11/117,21.2,21.2,26.7
12/117,19.0,19.0,26.2
13/117,17.1,17.1,25.1
14/117,17.7,17.7,23.1
15/117,18.6,18.6,20.6
16/117,18.6,18.6,19.2
17/117,15.6,15.6,17.6
18/117,11.1,11.1,17.1
19/117,11.0,11.0,17.8
20/117,7.7,7.7,14.9
21/117,8.9,8.9,15.0
22/117,9.0,9.0,14.5
23/117,9.7,9.7,15.3
24/117,8.8,8.8,15.1
25/117,13.2,13.2,18.2
26/117,15.9,15.9,19.1
27/117,18.5,18.5,19.4
28/117,17.8,17.8,22.9
01/118,17.2,17.2,23.0
02/118,19.4,19.4,23.0
03/118,21.7,21.7,25.3
04/118,22.7,22.7,27.0
05/118,22.7,22.7,27.4
06/118,23.7,23.7,27.4
07/118,27.6,27.6,29.7
08/118,28.7,28.7,29.5
09/118,28.4,28.4,29.4
10/118,23.8,23.8,28.3
11/118,20.8,20.8,29.3
12/118,17.7,17.7,30.3
13/118,15.6,15.6,27.2
14/118,16.8,16.8,27.6
15/118,15.5,15.5,28.6
16/118,14.7,14.7,26.6
17/118,15.9,15.9,25.2
18/118,12.5,12.5,25.4
19/118,7.7,7.7,23.6
20/118,7.2,7.2,23.4
21/118,6.1,6.1,21.4
22/118,6.3,6.3,22.7
23/118,8.1,8.1,21.6
24/118,8.6,8.6,20.5
25/118,9.6,9.6,20.2
26/118,10.8,10.8,20.7
27/118,13.8,13.8,23.7
28/118,15.1,15.1,23.6
01/119,18.1,18.1,23.8
02/119,22.2,22.2,22.4
03/119,23.9,23.9,22.5
04/119,23.9,23.9,24.0
05/119,26.8,26.8,26.0
06/119,27.3,27.3,27.1
07/119,27.8,27.8,28.6
08/119,28.2,28.2,28.5
09/119,27.7,27.7,27.8
10/119,28.0,28.0,27.7
11/119,25.4,25.4,27.0
12/119,21.7,21.7,25.0
13/119,20.5,20.5,25.3
14/119,21.0,21.0,25.5
15/119,21.3,21.3,23.8
16/119,20.1,20.1,23.3
17/119,17.5,17.5,23.2
18/119,15.0,15.0,23.4
19/119,11.8,11.8,22.7
20/119,12.9,12.9,23.3
21/119,9.0,9.0,23.0
22/119,9.8,9.8,22.3
23/119,8.3,8.3,23.9
24/119,6.8,6.8,24.3
25/119,10.0,10.0,24.2
26/119,11.4,11.4,23.6
27/119,12.5,12.5,26.6
28/119,16.1,16.1,27.4
01/120,14.9,14.9,28.3
02/120,17.9,17.9,28.9
03/120,20.2,20.2,30.3
04/120,23.3,23.3,32.0
05/120,26.4,26.4,34.4
06/120,27.5,27.5,32.7
07/120,29.1,29.1,33.1
08/120,27.4,27.4,31.3
09/120,27.1,27.1,33.0
10/120,27.3,27.3,31.4
11/120,24.0,24.0,31.0
12/120,21.7,21.7,28.8
13/120,21.4,21.4,27.2
14/120,19.6,19.6,25.2
15/120,20.7,20.7,24.0
16/120,19.8,19.8,23.3
17/120,16.9,16.9,22.8
18/120,12.4,12.4,20.8
19/120,10.8,10.8,20.0
20/120,11.5,11.5,19.1
21/120,12.1,12.1,16.6
22/120,8.1,8.1,16.2
23/120,6.6,6.6,16.4
24/120,6.5,6.5,16.7
25/120,10.5,10.5,18.6
26/120,12.5,12.5,19.8
27/120,16.7,16.7,19.9
28/120,17.0,17.0,21.3
01/121,17.6,17.6,22.2
02/121,18.3,18.3,25.7
03/121,21.4,21.4,25.7
04/121,22.1,22.1,28.0
05/121,23.0,23.0,29.2
06/121,25.6,25.6,28.5
07/121,27.1,27.1,29.3
08/121,27.2,27.2,30.0
09/121,27.6,27.6,30.2
10/121,25.6,25.6,30.7
11/121,24.9,24.9,30.8
12/121,20.9,20.9,28.6
13/121,18.6,18.6,28.6
14/121,15.6,15.6,26.5
15/121,13.6,13.6,24.3
16/121,14.2,14.2,25.0
17/121,14.5,14.5,23.3
18/121,13.7,13.7,22.9
19/121,11.1,11.1,20.6
20/121,11.9,11.9,20.8
21/121,6.9,6.9,20.5
22/121,6.2,6.2,17.9
23/121,4.5,4.5,19.6
24/121,7.1,7.1,20.3
25/121,8.1,8.1,19.2
26/121,12.9,12.9,18.6
27/121,11.9,11.9,21.1
28/121,13.3,13.3,20.7
01/122,16.4,16.4,20.8
02/122,18.6,18.6,22.3
03/122,21.6,21.6,23.0
04/122,22.7,22.7,23.7
05/122,23.9,23.9,24.9
06/122,25.1,25.1,26.0
07/122,28.5,28.5,26.5
08/122,26.0,26.0,24.6
09/122,27.7,27.7,25.3
10/122,24.9,24.9,24.5
11/122,22.1,22.1,24.2
12/122,16.5,16.5,22.6
13/122,14.9,14.9,21.6
14/122,15.0,15.0,20.0
15/122,14.5,14.5,19.4
16/122,16.3,16.3,19.0
17/122,15.2,15.2,19.6
18/122,14.8,14.8,19.7
19/122,10.1,10.1,19.9
20/122,9.7,9.7,20.1
21/122,5.7,5.7,19.5
22/122,5.6,5.6,19.6
23/122,6.8,6.8,19.5
24/122,6.6,6.6,21.2
25/122,9.1,9.1,21.7
26/122,11.2,11.2,23.4
27/122,11.1,11.1,25.3
28/122,15.0,15.0,25.4
01/123,16.4,16.4,26.0
02/123,18.8,18.8,26.6
03/123,21.7,21.7,27.3
04/123,22.3,22.3,30.0
05/123,21.2,21.2,31.3
06/123,24.2,24.2,33.2
07/123,30.1,30.1,32.6
08/123,29.9,29.9,32.4
09/123,26.3,26.3,33.0
10/123,24.4,24.4,31.1
11/123,23.0,23.0,28.0
12/123,23.2,23.2,27.2
13/123,23.3,23.3,26.3
14/123,21.5,21.5,24.3
15/123,19.4,19.4,22.5
16/123,17.8,17.8,21.3
17/123,13.7,13.7,21.7
18/123,12.2,12.2,21.7
19/123,9.8,9.8,19.3
20/123,8.5,8.5,18.3
21/123,8.6,8.6,18.7
22/123,7.1,7.1,17.0
23/123,7.4,7.4,16.7
24/123,12.2,12.2,18.0
25/123,13.2,13.2,20.4
26/123,14.8,14.8,20.7
27/123,17.9,17.9,21.7
28/123,18.9,18.9,22.4
01/124,22.8,22.8,24.4
02/124,21.1,21.1,25.1
03/124,24.0,24.0,25.4
04/124,22.6,22.6,27.3
05/124,24.2,24.2,27.5
06/124,25.7,25.7,30.4
07/124,28.0,28.0,31.1
08/124,29.4,29.4,32.1
09/124,28.1,28.1,32.2
10/124,26.8,26.8,33.1
11/124,25.5,25.5,33.8
12/124,23.0,23.0,31.1
13/124,21.3,21.3,28.3
14/124,22.3,22.3,29.3
15/124,23.2,23.2,29.6
16/124,20.3,20.3,29.1
17/124,21.1,21.1,29.4
18/124,17.1,17.1,29.0
19/124,15.6,15.6,27.8
20/124,12.6,12.6,26.4
21/124,10.5,10.5,25.0
22/124,8.6,8.6,22.9
23/124,11.1,11.1,25.5
24/124,11.2,11.2,26.5
25/124,14.7,14.7,27.1
26/124,17.9,17.9,26.1
27/124,18.7,18.7,27.3
28/124,20.4,20.4,27.2
01/125,21.4,21.4,26.3
02/125,23.6,23.6,26.6
03/125,29.0,29.0,28.7
04/125,29.4,29.4,30.1
05/125,29.0,29.0,31.3
06/125,30.8,30.8,31.1
07/125,32.1,32.1,31.1
08/125,31.7,31.7,28.3
09/125,35.2,35.2,28.8
10/125,31.5,31.5,30.0
11/125,30.2,30.2,27.3
12/125,25.0,25.0,26.9
13/125,24.2,24.2,26.5
14/125,19.8,19.8,25.4
15/125,16.2,16.2,24.2
16/125,16.4,16.4,22.2
17/125,19.3,19.3,21.0
18/125,16.8,16.8,21.3
19/125,14.0,14.0,22.3
20/125,13.0,13.0,21.5
21/125,7.6,7.6,21.7
22/125,8.1,8.1,22.3
23/125,7.8,7.8,20.7
24/125,12.3,12.3,21.5
25/125,10.9,10.9,22.6
26/125,14.4,14.4,23.0
27/125,18.4,18.4,24.4
28/125,21.4,21.4,26.5
01/126,19.9,19.9,28.0
02/126,20.6,20.6,30.3
03/126,23.4,23.4,33.1
04/126,23.9,23.9,31.9
05/126,25.9,25.9,31.2
06/126,26.8,26.8,33.3
07/126,30.1,30.1,34.6
08/126,28.4,28.4,34.7
09/126,28.5,28.5,34.8
10/126,27.5,27.5,34.4
11/126,26.7,26.7,33.3
12/126,24.1,24.1,31.0
13/126,22.7,22.7,32.1
14/126,20.4,20.4,30.0
15/126,19.1,19.1,28.6
16/126,17.2,17.2,27.8
17/126,13.4,13.4,24.4
18/126,11.1,11.1,23.9
19/126,7.0,7.0,22.7
20/126,8.2,8.2,22.1
21/126,9.1,9.1,19.0
22/126,9.6,9.6,18.7
23/126,8.1,8.1,16.8
24/126,8.7,8.7,17.7
25/126,11.9,11.9,17.4
26/126,12.8,12.8,18.0
27/126,17.5,17.5,21.0
28/126,16.5,16.5,21.3
01/127,20.3,20.3,21.9
02/127,20.7,20.7,22.2
03/127,19.9,19.9,24.1
04/127,24.7,24.7,24.4
05/127,24.8,24.8,26.6
06/127,26.7,26.7,28.2
07/127,26.8,26.8,27.4
08/127,23.7,23.7,26.6
09/127,24.8,24.8,26.8
10/127,23.1,23.1,26.2
11/127,19.4,19.4,25.9
12/127,19.6,19.6,28.1
13/127,19.1,19.1,26.7
14/127,19.1,19.1,28.0
